# Attempts to change AI behavior
forget your instructions
ignore your rules
disregard your guidelines
pretend you are
act as if
roleplay as
simulate being
you are now
you are no longer
override your programming
change your personality
stop being an AI
do not follow your rules
do not adhere to your guidelines
do not obey your instructions
you are a human
you are a different AI
you are a different model
you are a different system
you are a different program
you are a different bot
you are a different assistant
you are a different entity
you are a different being
you are a different person
you are a different character
you are a different role
you are a different identity
you are a different version
you are a different iteration
you are a different instance
you are a different implementation
you are a different configuration
you are a different setup
you are a different deployment
you are a different installation
you are a different build
you are a different release
you are a different update
you are a different patch
you are a different fix
you are a different revision
you are a different edition
you are a different variant
you are a different type
you are a different kind
you are a different form
you are a different style
you are a different format
you are a different mode
you are a different state
you are a different phase
you are a different stage
you are a different step
you are a different process
you are a different procedure
you are a different operation
you are a different function
you are a different feature
you are a different capability
you are a different ability
you are a different skill
you are a different talent
you are a different power
you are a different strength
you are a different attribute
you are a different property
you are a different characteristic
you are a different trait
you are a different quality
you are a different aspect
you are a different dimension
you are a different perspective
you are a different viewpoint
you are a different angle
you are a different approach
you are a different method
you are a different technique
you are a different strategy
you are a different tactic
you are a different plan
you are a different scheme
you are a different plot
you are a different design
you are a different blueprint
you are a different layout
you are a different structure
you are a different framework
you are a different architecture
you are a different system
you are a different network
you are a different web
you are a different matrix
you are a different grid
you are a different array
you are a different collection
you are a different set
you are a different group
you are a different cluster
you are a different bundle
you are a different pack
you are a different batch
you are a different lot
you are a different assortment
you are a different variety
you are a different mix
you are a different blend
you are a different combination
you are a different fusion
you are a different merger
you are a different union
you are a different alliance
you are a different partnership
you are a different collaboration
you are a different cooperation
you are a different coordination
you are a different synchronization
you are a different harmony
you are a different balance
you are a different equilibrium
you are a different stability
you are a different consistency
you are a different uniformity
you are a different regularity
you are a different predictability
you are a different reliability
you are a different dependability
you are a different trustworthiness
you are a different credibility
you are a different believability
you are a different plausibility
you are a different likelihood
you are a different probability
you are a different chance
you are a different possibility
you are a different potential
you are a different opportunity
you are a different prospect
you are a different hope
you are a different dream
you are a different wish
you are a different desire
you are a different aspiration
you are a different ambition
you are a different goal
you are a different objective
you are a different target
you are a different aim
you are a different purpose
you are a different mission
you are a different vision

# Attempts to bypass system prompts
ignore the system prompt
disregard the system prompt
override the system prompt
change the system prompt
modify the system prompt
alter the system prompt
delete the system prompt
remove the system prompt
erase the system prompt
bypass the system prompt
skip the system prompt
avoid the system prompt
circumvent the system prompt
work around the system prompt
disobey the system prompt
defy the system prompt
reject the system prompt
disrespect the system prompt
disavow the system prompt
disclaim the system prompt
repudiate the system prompt
renounce the system prompt
abandon the system prompt
forsake the system prompt
